#, train_loss, test_loss, test_acc_all, test_acc_C, test_acc_A
1, 0.06746447, 0.03745518, 0.76583615, 0.82474662, 0.70692568
2, 0.02505490, 0.03004460, 0.76478041, 0.82939189, 0.70016892
3, 0.02187980, 0.02849751, 0.76245777, 0.82728041, 0.69763514
4, 0.01959923, 0.02713081, 0.76351351, 0.83150338, 0.69552365
5, 0.01705734, 0.02295469, 0.76076858, 0.82728041, 0.69425676
6, 0.01424343, 0.01917980, 0.75295608, 0.82305743, 0.68285473
7, 0.01321759, 0.02018980, 0.75401182, 0.82221284, 0.68581081
8, 0.01204592, 0.02023856, 0.75105574, 0.81883446, 0.68327703
9, 0.01181960, 0.01828974, 0.75591216, 0.82390203, 0.68792230
10, 0.01084041, 0.01709700, 0.75591216, 0.82516892, 0.68665541
11, 0.01068505, 0.02090858, 0.75886824, 0.82728041, 0.69045608
12, 0.01102195, 0.01689823, 0.75042230, 0.82052365, 0.68032095
13, 0.01082778, 0.01961985, 0.74746622, 0.82263514, 0.67229730
14, 0.01018079, 0.01821173, 0.74873311, 0.81798986, 0.67947635
15, 0.01016098, 0.01511058, 0.75295608, 0.82347973, 0.68243243
16, 0.00994932, 0.01782041, 0.74472128, 0.82136824, 0.66807432
17, 0.00949465, 0.01446951, 0.74345439, 0.81798986, 0.66891892
18, 0.00949734, 0.01913291, 0.74535473, 0.82263514, 0.66807432
19, 0.00950365, 0.01588172, 0.74873311, 0.82305743, 0.67440878
20, 0.00953124, 0.01528849, 0.75147804, 0.82981419, 0.67314189
