#, train_loss, test_loss, test_acc_all, test_acc_C, test_acc_F
1, 0.07322073, 0.03679875, 0.58722359, 0.41093366, 0.76351351
2, 0.03195725, 0.02631383, 0.58108108, 0.41031941, 0.75184275
3, 0.02636962, 0.02552336, 0.57923833, 0.41277641, 0.74570025
4, 0.02449537, 0.02338030, 0.57739558, 0.41400491, 0.74078624
5, 0.02334298, 0.02213788, 0.57278870, 0.41707617, 0.72850123
6, 0.02148669, 0.02198926, 0.57094595, 0.41461916, 0.72727273
7, 0.01870476, 0.01941782, 0.57217445, 0.41584767, 0.72850123
8, 0.01750477, 0.02012653, 0.56941032, 0.41216216, 0.72665848
9, 0.01611617, 0.01863344, 0.57278870, 0.41891892, 0.72665848
10, 0.01522624, 0.01639659, 0.58138821, 0.42506143, 0.73771499
11, 0.01360187, 0.01542093, 0.57954545, 0.42383292, 0.73525799
12, 0.01294135, 0.01575469, 0.57678133, 0.42751843, 0.72604423
13, 0.01232289, 0.01522057, 0.57401720, 0.42321867, 0.72481572
14, 0.01196343, 0.01403730, 0.57340295, 0.42751843, 0.71928747
