#, train_loss, test_loss, test_acc_all, test_acc_C, test_acc_A, test_acc_F
1, 0.06265303, 0.05486877, 0.51798561, 0.53098927, 0.69573551, 0.20096852
2, 0.04325870, 0.04203657, 0.51578737, 0.52383790, 0.69717298, 0.19935432
3, 0.03461064, 0.03540640, 0.52537970, 0.53098927, 0.71154768, 0.20419693
4, 0.03171324, 0.03482978, 0.51558753, 0.51549464, 0.69717298, 0.20984665
5, 0.02977721, 0.03251516, 0.51758593, 0.51668653, 0.70100623, 0.20984665
6, 0.02957244, 0.03292484, 0.51139089, 0.50297974, 0.69717298, 0.20984665
7, 0.02932172, 0.03280855, 0.51298961, 0.50953516, 0.69669382, 0.20823245
8, 0.02761926, 0.03060166, 0.50679456, 0.51132300, 0.67656924, 0.21468927
9, 0.02791377, 0.02823612, 0.52318145, 0.52681764, 0.70627695, 0.20984665
10, 0.02761207, 0.03187469, 0.50659472, 0.51072706, 0.68088165, 0.20742534
11, 0.02723363, 0.02853741, 0.50819345, 0.50595948, 0.68519406, 0.21307506
12, 0.02648029, 0.02760290, 0.51139089, 0.52264601, 0.68375659, 0.20581114
13, 0.02639918, 0.03053734, 0.52498002, 0.54350417, 0.69286057, 0.21711057
14, 0.02559418, 0.02767421, 0.51718625, 0.53277712, 0.68567322, 0.21226796
15, 0.02556676, 0.02986096, 0.50979217, 0.51847437, 0.68519406, 0.20258273
16, 0.02640056, 0.02728657, 0.50359712, 0.49880810, 0.68567322, 0.20338983
17, 0.02508998, 0.02773871, 0.49800160, 0.50476758, 0.66698610, 0.20419693
18, 0.02476399, 0.03156340, 0.49840128, 0.50893921, 0.65931960, 0.21307506
19, 0.02453091, 0.02587348, 0.50119904, 0.51668653, 0.66363201, 0.20661824
20, 0.02393078, 0.02507354, 0.49700240, 0.52205006, 0.65213225, 0.20177563
21, 0.02420201, 0.02668638, 0.50479616, 0.52324195, 0.66746526, 0.20581114
22, 0.02420925, 0.02452222, 0.50439648, 0.50715137, 0.67752755, 0.20903955
23, 0.02388542, 0.02514747, 0.50419664, 0.52026222, 0.66698610, 0.20823245
24, 0.02427786, 0.02606940, 0.48800959, 0.49463647, 0.65069478, 0.20500404
25, 0.02390153, 0.03357734, 0.49580336, 0.49344458, 0.66698610, 0.21065375
26, 0.02303619, 0.02681432, 0.50759392, 0.51668653, 0.67513177, 0.21307506
