#, train_loss, test_loss, test_acc_all, test_acc_C, test_acc_A, test_acc_F, test_acc_C, test_acc_A, test_acc_F
1, 0.05458309, 0.06738269, 0.42099898, 0.54740061, 0.45259939, 0.26299694, 0.80549451, 0.72197802, 0.76813187
2, 0.04560020, 0.05251124, 0.43323140, 0.56269113, 0.47400612, 0.26299694, 0.81758242, 0.75934066, 0.78901099
3, 0.04218257, 0.05628700, 0.44444444, 0.57186544, 0.48929664, 0.27217125, 0.81428571, 0.77252747, 0.79450549
4, 0.03817899, 0.04671138, 0.44750255, 0.57186544, 0.49847095, 0.27217125, 0.82637363, 0.77032967, 0.80000000
5, 0.03733905, 0.05270587, 0.45361876, 0.57186544, 0.51376147, 0.27522936, 0.82527473, 0.76923077, 0.80329670
6, 0.03751547, 0.04776273, 0.45667686, 0.58715596, 0.51070336, 0.27217125, 0.82637363, 0.76373626, 0.80219780
7, 0.03760926, 0.04875340, 0.46177370, 0.59021407, 0.53516820, 0.25993884, 0.82087912, 0.76593407, 0.80000000
8, 0.03431135, 0.04479509, 0.46890928, 0.59938838, 0.53516820, 0.27217125, 0.82087912, 0.76813187, 0.80329670
9, 0.03361375, 0.03991636, 0.46381244, 0.58103976, 0.53516820, 0.27522936, 0.82197802, 0.77692308, 0.80329670
10, 0.03563589, 0.04441068, 0.46788991, 0.57798165, 0.52905199, 0.29663609, 0.82417582, 0.77692308, 0.80879121
