#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_A, test_acc_F, train_acc_A, train_acc_F
0, 0.10071790, 0.09712993, 0.93181818, 0.60000000, 0.88888889, 0.16666667, 0.96296296, 0.88235294
1, 0.04142743, 0.04338830, 0.93181818, 0.53333333, 0.77777778, 0.16666667, 1.00000000, 0.82352941
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_A, test_acc_F, train_acc_A, train_acc_F
0, 0.09707917, 0.10358153, 0.88636364, 0.53333333, 0.55555556, 0.50000000, 0.85185185, 0.94117647
1, 0.04001895, 0.03621528, 0.86363636, 0.53333333, 0.55555556, 0.50000000, 0.85185185, 0.88235294
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_A, test_acc_F, train_acc_A, train_acc_F
0, 0.09811178, 0.09468726, 0.90909091, 0.46666667, 0.66666667, 0.16666667, 0.92592593, 0.88235294
1, 0.03906233, 0.03077687, 0.93181818, 0.40000000, 0.55555556, 0.16666667, 0.92592593, 0.94117647
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_A, test_acc_F, train_acc_A, train_acc_F
0, 0.09917181, 0.09816806, 0.84444444, 0.28571429, 0.44444444, 0.00000000, 0.88888889, 0.77777778
1, 0.03896273, 0.03347280, 0.86666667, 0.28571429, 0.44444444, 0.00000000, 0.92592593, 0.77777778
