#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10461094, 0.10964220, 0.89743590, 0.53846154, 0.62500000, 0.40000000, 0.90476190, 0.88888889
1, 0.04344802, 0.03013557, 0.92307692, 0.46153846, 0.62500000, 0.20000000, 0.95238095, 0.88888889
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10708414, 0.10686387, 0.94871795, 0.76923077, 1.00000000, 0.50000000, 0.95454545, 0.94117647
1, 0.04221620, 0.02780316, 0.89743590, 0.76923077, 0.85714286, 0.66666667, 0.86363636, 0.94117647
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10798023, 0.09795723, 0.89743590, 0.69230769, 0.85714286, 0.50000000, 0.86363636, 0.94117647
1, 0.04113956, 0.02957768, 0.97435897, 0.69230769, 0.85714286, 0.50000000, 0.95454545, 1.00000000
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10559554, 0.10896620, 0.94871795, 0.69230769, 0.57142857, 0.83333333, 0.90909091, 1.00000000
1, 0.03990415, 0.03477629, 0.94871795, 0.61538462, 0.57142857, 0.66666667, 0.90909091, 1.00000000
