#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_A, train_acc_C, train_acc_A
0, 0.11138736, 0.10623598, 0.93750000, 0.82352941, 0.75000000, 0.88888889, 0.90476190, 0.96296296
1, 0.03727192, 0.02633387, 0.91666667, 0.82352941, 0.75000000, 0.88888889, 0.85714286, 0.96296296
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_A, train_acc_C, train_acc_A
0, 0.10864655, 0.11761436, 0.95918367, 0.81250000, 0.57142857, 1.00000000, 0.95454545, 0.96296296
1, 0.03524903, 0.03249667, 0.95918367, 0.87500000, 0.71428571, 1.00000000, 0.95454545, 0.96296296
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_A, train_acc_C, train_acc_A
0, 0.11091652, 0.11004498, 0.95918367, 0.75000000, 0.71428571, 0.77777778, 1.00000000, 0.92592593
1, 0.03886915, 0.02914845, 0.93877551, 0.81250000, 0.71428571, 0.88888889, 0.95454545, 0.92592593
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_A, train_acc_C, train_acc_A
0, 0.10997404, 0.10566122, 0.97959184, 0.62500000, 0.85714286, 0.44444444, 0.95454545, 1.00000000
1, 0.03664891, 0.02105992, 0.95918367, 0.56250000, 0.85714286, 0.33333333, 0.95454545, 0.96296296
