#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_A, train_acc_C, train_acc_A
1, 0.04605191, 0.05535021, 0.97916667, 0.88235294, 0.87500000, 0.88888889, 1.00000000, 0.96296296
2, 0.03924916, 0.04804799, 0.97916667, 0.88235294, 0.87500000, 0.88888889, 1.00000000, 0.96296296
3, 0.03727782, 0.05198621, 0.97916667, 0.82352941, 0.87500000, 0.77777778, 1.00000000, 0.96296296
4, 0.03735638, 0.04781295, 0.95833333, 0.82352941, 0.87500000, 0.77777778, 0.95238095, 0.96296296
5, 0.03377523, 0.05097337, 0.97916667, 0.88235294, 0.87500000, 0.88888889, 0.95238095, 1.00000000
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_A, train_acc_C, train_acc_A
1, 0.04461913, 0.05367571, 0.95918367, 0.75000000, 0.71428571, 0.77777778, 0.95454545, 0.96296296
2, 0.03951084, 0.06183217, 0.95918367, 0.81250000, 0.85714286, 0.77777778, 0.95454545, 0.96296296
3, 0.03767240, 0.06383675, 0.97959184, 0.75000000, 0.71428571, 0.77777778, 1.00000000, 0.96296296
4, 0.03525091, 0.05494887, 0.97959184, 0.75000000, 0.71428571, 0.77777778, 1.00000000, 0.96296296
5, 0.03540486, 0.05476763, 0.95918367, 0.75000000, 0.71428571, 0.77777778, 0.95454545, 0.96296296
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_A, train_acc_C, train_acc_A
1, 0.04832776, 0.05043309, 0.95918367, 0.75000000, 0.71428571, 0.77777778, 1.00000000, 0.92592593
2, 0.04132686, 0.04944580, 0.97959184, 0.75000000, 0.71428571, 0.77777778, 1.00000000, 0.96296296
3, 0.03651776, 0.04788981, 0.97959184, 0.75000000, 0.71428571, 0.77777778, 1.00000000, 0.96296296
4, 0.03661779, 0.04697795, 0.97959184, 0.75000000, 0.71428571, 0.77777778, 1.00000000, 0.96296296
5, 0.03971430, 0.05229203, 0.97959184, 0.75000000, 0.71428571, 0.77777778, 1.00000000, 0.96296296
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_A, train_acc_C, train_acc_A
1, 0.04996263, 0.04555072, 0.97959184, 0.56250000, 0.71428571, 0.44444444, 0.95454545, 1.00000000
2, 0.04328197, 0.04179670, 1.00000000, 0.56250000, 0.71428571, 0.44444444, 1.00000000, 1.00000000
3, 0.03665952, 0.04114434, 0.97959184, 0.56250000, 0.71428571, 0.44444444, 0.95454545, 1.00000000
4, 0.03599243, 0.04443961, 0.97959184, 0.56250000, 0.71428571, 0.44444444, 0.95454545, 0.96296296
5, 0.03549697, 0.04294282, 0.97959184, 0.56250000, 0.71428571, 0.44444444, 0.95454545, 1.00000000
