#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_A, train_acc_C, train_acc_A
0, 0.11138736, 0.10623598, 0.93750000, 0.82352941, 0.75000000, 0.88888889, 0.90476190, 0.96296296
1, 0.03721620, 0.02710654, 0.89583333, 0.82352941, 0.75000000, 0.88888889, 0.85714286, 0.92592593
2, 0.02114190, 0.02321775, 0.89583333, 0.82352941, 0.75000000, 0.88888889, 0.85714286, 0.92592593
3, 0.02010587, 0.02072949, 0.87500000, 0.76470588, 0.75000000, 0.77777778, 0.80952381, 0.92592593
4, 0.01686139, 0.01917922, 0.79166667, 0.82352941, 0.75000000, 0.88888889, 0.71428571, 0.85185185
5, 0.01862069, 0.02228931, 0.81250000, 0.82352941, 0.75000000, 0.88888889, 0.71428571, 0.88888889
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_A, train_acc_C, train_acc_A
0, 0.10864655, 0.11761436, 0.95918367, 0.81250000, 0.57142857, 1.00000000, 0.95454545, 0.96296296
1, 0.03526426, 0.03311942, 0.95918367, 0.87500000, 0.71428571, 1.00000000, 0.95454545, 0.96296296
2, 0.02103949, 0.03223298, 0.93877551, 0.81250000, 0.71428571, 0.88888889, 0.95454545, 0.92592593
3, 0.01854473, 0.02485958, 0.93877551, 0.81250000, 0.71428571, 0.88888889, 0.95454545, 0.92592593
4, 0.01667367, 0.02473479, 0.91836735, 0.75000000, 0.57142857, 0.88888889, 0.90909091, 0.92592593
5, 0.01783052, 0.02601972, 0.85714286, 0.68750000, 0.85714286, 0.55555556, 0.90909091, 0.81481481
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_A, train_acc_C, train_acc_A
0, 0.11091652, 0.11004498, 0.95918367, 0.75000000, 0.71428571, 0.77777778, 1.00000000, 0.92592593
1, 0.03879732, 0.03024715, 0.93877551, 0.75000000, 0.71428571, 0.77777778, 0.95454545, 0.92592593
2, 0.02314102, 0.02546099, 0.95918367, 0.68750000, 0.57142857, 0.77777778, 1.00000000, 0.92592593
3, 0.01949892, 0.02992420, 0.95918367, 0.75000000, 0.71428571, 0.77777778, 1.00000000, 0.92592593
4, 0.01915198, 0.02244363, 0.93877551, 0.68750000, 0.71428571, 0.66666667, 0.95454545, 0.92592593
5, 0.01719979, 0.02260023, 0.89795918, 0.68750000, 0.71428571, 0.66666667, 0.90909091, 0.88888889
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_A, train_acc_C, train_acc_A
0, 0.10997404, 0.10566122, 0.97959184, 0.62500000, 0.85714286, 0.44444444, 0.95454545, 1.00000000
1, 0.03676218, 0.02350907, 0.95918367, 0.62500000, 0.85714286, 0.44444444, 0.95454545, 0.96296296
2, 0.01875637, 0.01742487, 0.97959184, 0.68750000, 0.85714286, 0.55555556, 0.95454545, 1.00000000
3, 0.01706847, 0.02120595, 0.95918367, 0.75000000, 0.85714286, 0.66666667, 0.90909091, 1.00000000
4, 0.01706184, 0.01923653, 0.89795918, 0.62500000, 0.85714286, 0.44444444, 0.86363636, 0.92592593
5, 0.01683338, 0.02098069, 0.91836735, 0.56250000, 0.71428571, 0.44444444, 0.86363636, 0.96296296
