#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_A, test_acc_F, train_acc_A, train_acc_F
0, 0.11096868, 0.11289177, 0.97727273, 0.53333333, 0.77777778, 0.16666667, 1.00000000, 0.94117647
1, 0.04003418, 0.03203438, 0.97727273, 0.60000000, 0.88888889, 0.16666667, 1.00000000, 0.94117647
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_A, test_acc_F, train_acc_A, train_acc_F
0, 0.11148266, 0.10918004, 0.95454545, 0.46666667, 0.66666667, 0.16666667, 0.96296296, 0.94117647
1, 0.04171070, 0.03051546, 0.93181818, 0.40000000, 0.55555556, 0.16666667, 0.96296296, 0.88235294
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_A, test_acc_F, train_acc_A, train_acc_F
0, 0.11123915, 0.10894706, 0.90909091, 0.60000000, 0.66666667, 0.50000000, 0.88888889, 0.94117647
1, 0.04313336, 0.03027713, 0.93181818, 0.60000000, 0.66666667, 0.50000000, 0.92592593, 0.94117647
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_A, test_acc_F, train_acc_A, train_acc_F
0, 0.11217809, 0.10918961, 0.95555556, 0.42857143, 0.55555556, 0.20000000, 1.00000000, 0.88888889
1, 0.04004054, 0.02682250, 0.95555556, 0.35714286, 0.44444444, 0.20000000, 1.00000000, 0.88888889
