#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_A, test_acc_F, train_acc_A, train_acc_F
0, 0.11096868, 0.11289177, 0.97727273, 0.53333333, 0.77777778, 0.16666667, 1.00000000, 0.94117647
1, 0.04003442, 0.03203188, 0.97727273, 0.60000000, 0.88888889, 0.16666667, 1.00000000, 0.94117647
2, 0.02059103, 0.02557018, 0.95454545, 0.66666667, 0.88888889, 0.33333333, 1.00000000, 0.88235294
3, 0.01706981, 0.01906669, 0.93181818, 0.73333333, 1.00000000, 0.33333333, 1.00000000, 0.82352941
4, 0.01676582, 0.01764682, 0.90909091, 0.73333333, 1.00000000, 0.33333333, 0.96296296, 0.82352941
5, 0.01685147, 0.01906939, 0.84090909, 0.73333333, 1.00000000, 0.33333333, 0.88888889, 0.76470588
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_A, test_acc_F, train_acc_A, train_acc_F
0, 0.11148266, 0.10918004, 0.95454545, 0.46666667, 0.66666667, 0.16666667, 0.96296296, 0.94117647
1, 0.04171832, 0.03046184, 0.93181818, 0.40000000, 0.55555556, 0.16666667, 0.96296296, 0.88235294
2, 0.02234327, 0.02083482, 0.95454545, 0.46666667, 0.66666667, 0.16666667, 0.96296296, 0.94117647
3, 0.01863080, 0.02563404, 0.93181818, 0.40000000, 0.55555556, 0.16666667, 0.96296296, 0.88235294
4, 0.01713806, 0.01914874, 0.88636364, 0.53333333, 0.77777778, 0.16666667, 0.92592593, 0.82352941
5, 0.01552698, 0.01860916, 0.90909091, 0.46666667, 0.66666667, 0.16666667, 0.96296296, 0.82352941
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_A, test_acc_F, train_acc_A, train_acc_F
0, 0.11123915, 0.10894706, 0.90909091, 0.60000000, 0.66666667, 0.50000000, 0.88888889, 0.94117647
1, 0.04313368, 0.03028040, 0.93181818, 0.60000000, 0.66666667, 0.50000000, 0.92592593, 0.94117647
2, 0.02397605, 0.02214724, 0.88636364, 0.53333333, 0.55555556, 0.50000000, 0.85185185, 0.94117647
3, 0.01970315, 0.01988023, 0.86363636, 0.60000000, 0.66666667, 0.50000000, 0.81481481, 0.94117647
4, 0.01754525, 0.02251389, 0.81818182, 0.60000000, 0.66666667, 0.50000000, 0.74074074, 0.94117647
5, 0.01697516, 0.01683489, 0.86363636, 0.53333333, 0.55555556, 0.50000000, 0.81481481, 0.94117647
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_A, test_acc_F, train_acc_A, train_acc_F
0, 0.11217809, 0.10918961, 0.95555556, 0.42857143, 0.55555556, 0.20000000, 1.00000000, 0.88888889
1, 0.04010793, 0.02463980, 0.95555556, 0.35714286, 0.44444444, 0.20000000, 1.00000000, 0.88888889
2, 0.02246535, 0.02441848, 0.93333333, 0.35714286, 0.44444444, 0.20000000, 0.96296296, 0.88888889
3, 0.02084159, 0.02363385, 0.86666667, 0.35714286, 0.44444444, 0.20000000, 0.96296296, 0.72222222
4, 0.01891903, 0.02188630, 0.93333333, 0.42857143, 0.44444444, 0.40000000, 0.96296296, 0.88888889
5, 0.01776073, 0.02371300, 0.88888889, 0.50000000, 0.55555556, 0.40000000, 0.96296296, 0.77777778
