#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
1, 0.05059530, 0.03147180, 1.00000000, 0.53846154, 0.62500000, 0.40000000, 1.00000000, 1.00000000
2, 0.04612082, 0.03891219, 1.00000000, 0.61538462, 0.75000000, 0.40000000, 1.00000000, 1.00000000
3, 0.04158237, 0.03864271, 1.00000000, 0.61538462, 0.75000000, 0.40000000, 1.00000000, 1.00000000
4, 0.03435696, 0.03624002, 1.00000000, 0.61538462, 0.75000000, 0.40000000, 1.00000000, 1.00000000
5, 0.03617293, 0.03468507, 1.00000000, 0.61538462, 0.75000000, 0.40000000, 1.00000000, 1.00000000
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
1, 0.04621698, 0.03983274, 1.00000000, 0.69230769, 0.85714286, 0.50000000, 1.00000000, 0.94117647
2, 0.04418126, 0.04043420, 1.00000000, 0.69230769, 0.85714286, 0.50000000, 1.00000000, 1.00000000
3, 0.04116310, 0.04256981, 1.00000000, 0.69230769, 0.85714286, 0.50000000, 1.00000000, 1.00000000
4, 0.03505749, 0.04459492, 1.00000000, 0.69230769, 0.85714286, 0.50000000, 1.00000000, 1.00000000
5, 0.03552427, 0.04734510, 1.00000000, 0.69230769, 0.85714286, 0.50000000, 1.00000000, 1.00000000
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
1, 0.04391164, 0.04645448, 1.00000000, 0.61538462, 0.71428571, 0.50000000, 1.00000000, 1.00000000
2, 0.03916791, 0.04836675, 1.00000000, 0.69230769, 0.85714286, 0.50000000, 1.00000000, 1.00000000
3, 0.03480590, 0.04647652, 1.00000000, 0.69230769, 0.85714286, 0.50000000, 1.00000000, 1.00000000
4, 0.03230388, 0.04828174, 1.00000000, 0.69230769, 0.85714286, 0.50000000, 1.00000000, 1.00000000
5, 0.03209179, 0.04802933, 1.00000000, 0.69230769, 0.85714286, 0.50000000, 1.00000000, 1.00000000
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
1, 0.04434670, 0.05072439, 1.00000000, 0.53846154, 0.57142857, 0.50000000, 1.00000000, 1.00000000
2, 0.03722382, 0.06188173, 1.00000000, 0.61538462, 0.71428571, 0.50000000, 1.00000000, 1.00000000
3, 0.03487925, 0.05974503, 1.00000000, 0.61538462, 0.71428571, 0.50000000, 1.00000000, 1.00000000
4, 0.03004324, 0.05876722, 1.00000000, 0.61538462, 0.71428571, 0.50000000, 1.00000000, 1.00000000
5, 0.03092527, 0.05438233, 1.00000000, 0.69230769, 0.85714286, 0.50000000, 1.00000000, 1.00000000
