#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10051546, 0.10159596, 0.89743590, 0.76923077, 0.75000000, 0.80000000, 0.90476190, 0.88888889
1, 0.03979076, 0.03119990, 0.89743590, 0.76923077, 0.75000000, 0.80000000, 0.90476190, 0.88888889
2, 0.02456059, 0.02484711, 0.89743590, 0.69230769, 0.62500000, 0.80000000, 0.90476190, 0.88888889
3, 0.02057555, 0.01756158, 0.89743590, 0.76923077, 0.75000000, 0.80000000, 0.90476190, 0.88888889
4, 0.02048157, 0.02393581, 0.89743590, 0.61538462, 0.50000000, 0.80000000, 0.90476190, 0.88888889
5, 0.01985271, 0.02037100, 0.79487179, 0.76923077, 0.75000000, 0.80000000, 0.71428571, 0.88888889
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10130063, 0.10033824, 0.87179487, 0.61538462, 0.85714286, 0.33333333, 0.86363636, 0.88235294
1, 0.04263832, 0.03000919, 0.87179487, 0.69230769, 0.85714286, 0.50000000, 0.86363636, 0.88235294
2, 0.02736942, 0.02106278, 0.87179487, 0.61538462, 0.71428571, 0.50000000, 0.86363636, 0.88235294
3, 0.01899565, 0.03810189, 0.87179487, 0.46153846, 0.57142857, 0.33333333, 0.86363636, 0.88235294
4, 0.01863773, 0.02101789, 0.87179487, 0.61538462, 0.71428571, 0.50000000, 0.86363636, 0.88235294
5, 0.01757671, 0.01969456, 0.89743590, 0.61538462, 0.71428571, 0.50000000, 0.90909091, 0.88235294
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10159423, 0.10334103, 0.87179487, 0.69230769, 0.85714286, 0.50000000, 0.86363636, 0.88235294
1, 0.04156578, 0.02777770, 0.87179487, 0.69230769, 0.85714286, 0.50000000, 0.86363636, 0.88235294
2, 0.02564801, 0.02089728, 0.87179487, 0.69230769, 0.85714286, 0.50000000, 0.86363636, 0.88235294
3, 0.01962955, 0.01864042, 0.87179487, 0.69230769, 0.85714286, 0.50000000, 0.86363636, 0.88235294
4, 0.01639672, 0.01836606, 0.87179487, 0.69230769, 0.85714286, 0.50000000, 0.86363636, 0.88235294
5, 0.01585579, 0.02042847, 0.84615385, 0.46153846, 0.42857143, 0.50000000, 0.77272727, 0.94117647
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10026854, 0.10106551, 0.84615385, 0.76923077, 0.57142857, 1.00000000, 0.86363636, 0.82352941
1, 0.03584029, 0.04034940, 0.84615385, 0.76923077, 0.57142857, 1.00000000, 0.86363636, 0.82352941
2, 0.02221850, 0.03183272, 0.84615385, 0.76923077, 0.57142857, 1.00000000, 0.86363636, 0.82352941
3, 0.01861057, 0.02843244, 0.84615385, 0.76923077, 0.57142857, 1.00000000, 0.86363636, 0.82352941
4, 0.01681624, 0.02690030, 0.84615385, 0.76923077, 0.57142857, 1.00000000, 0.86363636, 0.82352941
5, 0.01645217, 0.03124631, 0.84615385, 0.76923077, 0.57142857, 1.00000000, 0.86363636, 0.82352941
