#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10573355, 0.11152832, 0.94871795, 0.46153846, 0.62500000, 0.20000000, 0.95238095, 0.94444444
1, 0.04233314, 0.03142500, 0.97435897, 0.46153846, 0.62500000, 0.20000000, 0.95238095, 1.00000000
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10529006, 0.11041681, 0.92307692, 0.84615385, 1.00000000, 0.66666667, 0.90909091, 0.94117647
1, 0.04140481, 0.02906125, 0.94871795, 0.84615385, 1.00000000, 0.66666667, 0.95454545, 0.94117647
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.11055627, 0.09689049, 0.94871795, 0.69230769, 0.85714286, 0.50000000, 0.90909091, 1.00000000
1, 0.04264660, 0.03182621, 0.94871795, 0.61538462, 0.71428571, 0.50000000, 0.90909091, 1.00000000
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10612665, 0.10532401, 0.94871795, 0.53846154, 0.71428571, 0.33333333, 0.95454545, 0.94117647
1, 0.03906672, 0.03825760, 0.94871795, 0.69230769, 0.71428571, 0.66666667, 0.95454545, 0.94117647
